City,Latitude,Longitude
Абакан,53.72,91.43
Адлер,43.43,39.92
Азов,47.11,39.42
Александров,56.4,38.71
Алексин,54.51,37.07
Альметьевск,54.9,52.32
Анадырь,64.73,177.51
Анапа,44.89,37.32
Ангарск,52.54,103.89
Анжеро-Судженск,56.08,86.03
Апатиты,67.56,33.4
Арзамас,55.39,43.84
Армавир,44.99,41.12
Арсеньев,44.15,133.28
Артём,43.36,132.19
Архангельск,64.54,40.54
Асбест,57.01,61.46
Астрахань,46.35,48.04
Ачинск,56.27,90.5
Балаково,52.03,47.8
Балахна,56.49,43.6
Балашиха,55.81,37.96
Балашов,51.55,43.17
Барнаул,53.36,83.76
Батайск,47.14,39.75
Белгород,50.61,36.58
Белебей,54.12,54.12
Белово,54.42,86.3
Белогорск,50.92,128.48
Белорецк,53.96,58.4
Белореченск,44.77,39.88
Бердск,54.76,83.1
Березники,59.41,56.82
Берёзовский,55.6,86.2
Бийск,52.54,85.2
Биробиджан,48.79,132.92
Благовещенск,50.28,127.54
Бор,56.36,44.07
Борисоглебск,51.37,42.08
Боровичи,58.39,33.92
Братск,56.13,101.61
Брянск,53.25,34.37
Бугульма,54.54,52.8
Бугуруслан,53.66,52.44
Будённовск,44.78,44.17
Бузулук,52.78,52.26
Буйнакск,42.82,47.12
Великие Луки,56.34,30.55
Великий Новгород,58.52,31.27
Верхняя Пышма,56.97,60.58
Видное,55.55,37.71
Владивосток,43.11,131.87
Владикавказ,43.04,44.67
Владимир,56.14,40.4
Волгоград,48.72,44.5
Волгодонск,47.51,42.15
Волжск,55.87,48.36
Волжский,48.79,44.78
Вологда,59.22,39.88
Вольск,52.05,47.38
Воркута,67.5,64.05
Воронеж,51.67,39.18
Воскресенск,55.32,38.65
Восточное Дегунино,55.88,37.56
Воткинск,57.05,53.99
Выборг,60.71,28.75
Выкса,55.32,42.17
Вышний Волочек,57.59,34.56
Вязьма,55.21,34.3
Гатчина,59.58,30.13
Геленджик,44.56,38.08
Георгиевск,44.15,43.47
Глазов,58.14,52.66
Горно-Алтайск,51.96,85.96
Грозный,43.31,45.7
Губкин,51.28,37.55
Гудермес,43.35,46.11
Гуково,48.05,39.94
Гусь-Хрустальный,55.61,40.65
Дербент,42.07,48.3
Дзержинск,56.24,43.46
Димитровград,54.23,49.56
Дмитров,56.35,37.52
Долгопрудный,55.93,37.51
Домодедово,55.44,37.76
Донской,53.97,38.33
Дубна,56.74,37.18
Евпатория,45.19,33.36
Егорьевск,55.38,39.04
Ейск,46.71,38.27
Екатеринбург,56.85,60.6
Елабуга,55.76,52.06
Елец,52.62,38.51
Ессентуки,44.04,42.86
Железногорск,52.34,35.37
Жигулёвск,53.4,49.49
Жуковский,55.6,38.12
Заречный,53.2,45.19
Зеленогорск,56.11,94.59
Зеленодольск,55.84,48.52
Златоуст,55.17,59.67
Иваново,57.0,40.97
Ивантеевка,55.97,37.92
Ижевск,56.85,53.23
Избербаш,42.56,47.87
Иркутск,52.29,104.3
Искитим,54.64,83.3
Ишим,56.11,69.49
Ишимбай,53.45,56.04
Йошкар-Ола,56.63,47.87
Казань,55.79,49.12
Калининград,54.71,20.51
Калуга,54.51,36.26
Каменск-Уральский,56.42,61.93
Каменск-Шахтинский,48.32,40.26
Камышин,50.1,45.4
Канск,56.2,95.71
Каспийск,42.88,47.64
Кемерово,55.33,86.09
Керчь,45.36,36.47
Кинешма,57.44,42.13
Кириши,59.45,32.02
Киров,58.6,49.66
Кирово-Чепецк,58.55,50.04
Киселёвск,54.0,86.64
Кисловодск,43.91,42.72
Клин,56.34,36.73
Клинцы,52.76,32.24
Ковров,56.36,41.33
Когалым,62.26,74.48
Коломна,55.08,38.77
Колпино,59.74,30.61
Комсомольск-на-Амуре,50.55,137.01
Копейск,55.12,61.62
Королёв,55.92,37.84
Кострома,57.77,40.93
Котлас,61.25,46.65
Красногорск,55.82,37.33
Краснодар,45.04,38.98
Краснокаменск,50.09,118.03
Краснокамск,58.08,55.75
Красноярск,56.01,92.86
Кропоткин,45.43,40.58
Крымск,44.93,37.99
Кстово,56.15,44.2
